City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Kongolo,CD,-5.3833,27.0,87.58,57,97,4.05,overcast clouds
267,Seryshevo,RU,51.0933,128.3786,27.57,46,100,16.04,overcast clouds
268,Sistranda,NO,63.7256,8.834,39.16,50,37,15.32,scattered clouds
269,Cairns,AU,-16.9167,145.7667,78.75,82,12,5.75,few clouds
270,Porbandar,IN,21.6422,69.6093,87.24,51,80,19.39,broken clouds
271,Marawi,PH,7.9986,124.2928,68.4,97,100,1.21,moderate rain
272,Zhigansk,RU,66.7697,123.3711,-7.53,100,7,7.96,clear sky
273,Otuzco,PE,-7.9,-78.5833,55.2,67,5,2.33,clear sky
274,Gilbues,BR,-9.8317,-45.3439,87.37,38,10,9.57,clear sky
275,El Retorno,CO,2.3302,-72.6276,71.96,99,100,1.68,overcast clouds
276,Banikoara,BJ,11.2985,2.4386,106.95,19,54,4.25,broken clouds
277,Dingle,PH,10.9995,122.6711,76.28,89,100,5.99,overcast clouds
278,Ostrovnoy,RU,68.0531,39.5131,26.67,90,100,19.28,overcast clouds
279,Lompoc,US,34.6391,-120.4579,66.63,46,0,20.71,clear sky
280,Kieta,PG,-6.2167,155.6333,76.6,95,100,9.1,moderate rain
281,Veraval,IN,20.9,70.3667,83.01,65,31,12.53,scattered clouds
282,Katsuura,JP,35.1333,140.3,60.04,77,100,15.5,overcast clouds
283,Tambun,ID,-6.2641,107.0712,84.09,78,64,4.36,broken clouds
284,Muli,MV,2.9167,73.5667,84.25,68,30,5.48,scattered clouds
285,Fukue,JP,32.6881,128.8419,58.5,59,99,7.81,overcast clouds
286,Wigtown,GB,54.8684,-4.4419,47.71,81,99,16.24,overcast clouds
287,Kismayo,SO,-0.3582,42.5454,85.15,63,2,10.45,clear sky
288,Thunder Bay,CA,48.4001,-89.3168,35.29,91,100,1.01,moderate rain
289,Statesboro,US,32.4488,-81.7832,71.13,95,100,8.48,overcast clouds
290,Nipawin,CA,53.3668,-104.0009,25.81,93,77,6.08,broken clouds
291,Tuatapere,NZ,-46.1333,167.6833,47.48,78,98,8.55,overcast clouds
292,Florence,IT,43.7667,11.25,67.46,40,0,4.61,clear sky
293,Karratha,AU,-20.7377,116.8463,85.75,62,0,8.28,light rain
294,Umtata,ZA,-31.5889,28.7844,75.02,38,2,4.5,clear sky
295,Zwedru,LR,6.0667,-8.1281,88.75,62,85,3.24,moderate rain
296,West Des Moines,US,41.572,-93.7453,44.29,62,20,18.41,few clouds
297,Wanning,CN,18.8003,110.3967,71.46,77,57,7.09,broken clouds
298,Bonthe,SL,7.5264,-12.505,86.92,62,91,11.59,overcast clouds
299,Ostersund,SE,63.1792,14.6357,34.61,69,75,19.57,broken clouds
300,Iguatu,BR,-6.3594,-39.2986,84.52,63,39,3.4,scattered clouds
301,Leh,IN,34.1667,77.5833,35.38,37,2,4.97,clear sky
302,Makakilo City,US,21.3469,-158.0858,71.92,76,20,5.75,few clouds
303,San Juan,AR,-31.5375,-68.5364,71.58,37,0,2.04,clear sky
304,Faanui,PF,-16.4833,-151.75,82.38,77,22,20.15,light rain
305,Tyret Pervaya,RU,53.6703,102.3106,34.92,100,100,2.98,overcast clouds
306,Manokwari,ID,-0.8667,134.0833,79.72,78,100,2.89,overcast clouds
307,Harbour Breton,CA,47.4833,-55.7983,36.84,76,100,19.06,overcast clouds
308,Xining,CN,36.6167,101.7667,52.41,24,7,7.67,clear sky
309,Kinshasa,CD,-4.3246,15.3215,90.68,48,100,3.44,overcast clouds
310,Nara,JP,34.6851,135.8049,59.5,45,58,1.61,broken clouds
311,Wanaka,NZ,-44.7,169.15,44.46,86,72,5.93,broken clouds
312,Salihli,TR,38.4826,28.1477,73.06,41,6,10.29,clear sky
313,Hasaki,JP,35.7333,140.8333,50.4,73,100,8.84,overcast clouds
314,Quesnel,CA,52.9999,-122.5029,25.16,82,0,3.22,clear sky
315,Nha Trang,VN,12.25,109.1833,77.0,85,100,10.85,overcast clouds
316,Palmer,US,42.1584,-72.3287,46.78,81,100,6.91,overcast clouds
317,Sudbury,CA,46.49,-80.99,42.42,60,14,10.94,few clouds
318,Wasilla,US,61.5814,-149.4394,35.15,73,100,18.41,overcast clouds
319,Oranjemund,NA,-28.55,16.4333,67.1,56,63,19.69,broken clouds
320,Matagami,CA,49.7502,-77.6328,28.51,31,0,6.91,clear sky
321,Gariaband,IN,20.635,82.0614,91.31,12,12,5.08,few clouds
